Generation,IndividualID,FrontRank,ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,CrowdingDistance
11,0,0,16,23,9.131049,0.236024,8.315219,8.074746,56.087782,-13.584046,83.333333,inf
11,1,0,13,25,0.344805,4.282969,6.627208,0.429135,480.336613,-0.844915,93.531469,inf
11,2,0,13,46,1.218230,3.832876,8.092208,5.536005,683.613327,-1.522720,92.676768,inf
11,3,0,17,21,6.781552,0.669263,1.535707,8.848349,56.087782,-13.584046,83.333333,inf
11,4,0,17,23,7.567594,0.100000,1.631902,8.266770,56.087782,-13.584046,83.333333,inf
11,5,0,17,28,9.798728,2.056716,8.006954,7.610864,117.812518,-4.420891,83.333333,1.217883
11,6,0,14,22,9.583726,6.251350,3.472547,6.346061,76.383077,-12.601562,83.333333,0.708189
11,7,0,17,24,5.246604,0.793361,1.828422,9.065046,200.610511,-1.985696,89.204545,0.575714
11,8,0,17,24,5.262176,0.788056,1.934895,9.065155,200.610511,-1.985696,89.204545,0.455751
11,9,0,14,25,0.232081,4.673881,6.789713,0.528890,480.336613,-0.844915,93.531469,0.445761
11,10,0,17,24,5.246604,0.793361,1.828422,9.065046,200.610511,-1.985696,89.204545,0.282021
11,11,0,6,29,5.396442,0.112984,7.682971,9.831206,551.886213,-1.858425,91.883117,0.262653
11,12,0,6,30,5.414547,0.100000,7.561705,9.864503,526.686584,-3.269835,83.333333,0.237633
11,13,0,20,49,9.007550,7.494473,6.446380,6.360874,578.220002,-2.315260,83.333333,0.117250
11,14,0,17,28,9.367753,2.001376,7.975661,7.578883,180.037902,-4.243248,83.333333,0.113105
11,15,0,14,22,10.000000,6.594413,3.691804,6.306394,76.383077,-12.601562,83.333333,0.109465
11,16,0,17,28,9.395313,1.998546,7.978659,7.577980,180.037902,-4.243248,83.333333,0.109195
11,17,0,17,28,9.809636,1.901444,7.955116,7.748373,117.812518,-4.420891,83.333333,0.099160
11,18,0,17,28,9.741549,2.051307,7.991244,7.683570,117.812518,-4.420891,83.333333,0.079965
11,19,0,13,25,0.225375,4.277374,7.063522,0.661866,480.336613,-0.844915,93.531469,0.073861
11,20,0,19,47,9.636276,6.625154,5.653986,5.148810,618.105907,-1.704306,92.329545,0.072657
11,21,0,14,23,0.739831,2.282725,6.283594,8.614248,558.784914,-1.845693,91.883117,0.054010
11,22,0,13,46,0.872298,3.786594,8.086317,5.292246,683.613327,-1.522720,92.676768,0.046554
11,23,0,18,34,3.715761,6.732019,8.375989,3.218493,675.765340,-1.336854,92.954545,0.041828
11,24,0,13,35,8.024978,0.737959,8.381939,7.968553,653.922325,-1.560253,92.121212,0.037507
11,25,0,19,34,3.606420,6.383692,6.636525,3.261717,675.765340,-1.336854,92.954545,0.034808
11,26,0,14,25,0.100000,6.926358,6.517133,0.877867,534.485361,-0.920606,93.454545,0.033671
11,27,0,17,24,5.246604,0.793361,1.828422,9.065046,200.610511,-1.985696,89.204545,0.032784
