Generation,FrontIndex,IndividualIndex,ROI,Risk,WinRate
81,0,0,497.223541,-0.813210,93.668831
81,0,1,497.223541,-0.813210,93.668831
81,0,2,568.282583,-3.048715,83.333333
81,0,3,56.087782,-13.584046,83.333333
81,0,4,56.087782,-13.584046,83.333333
81,0,5,750.935084,-1.481116,92.822967
81,0,6,76.383077,-12.601562,83.333333
81,0,7,197.487325,-2.294703,89.204545
81,0,8,547.500792,-3.487628,83.333333
81,0,9,222.650073,-6.153254,83.333333
81,0,10,197.487325,-2.294703,89.204545
81,0,11,222.650073,-6.153254,83.333333
81,0,12,497.223541,-0.813210,93.668831
81,0,13,705.787182,-1.716019,92.121212
81,0,14,547.500792,-3.487628,83.333333
81,0,15,222.650073,-6.153254,83.333333
81,0,16,76.383077,-12.601562,83.333333
81,0,17,536.114638,-0.915180,93.531469
81,0,18,644.053319,-2.232425,83.333333
81,0,19,497.223541,-0.813210,93.668831
81,0,20,750.935084,-1.481116,92.822967
81,0,21,604.209216,-2.391027,83.333333
81,0,22,714.515501,-1.522463,92.676768
81,0,23,568.282583,-3.048715,83.333333
81,0,24,679.743913,-1.986350,92.121212
81,0,25,683.613327,-1.522720,92.676768
81,0,26,605.186669,-1.194312,93.073593
81,0,27,670.405629,-1.595508,92.329545
81,0,28,599.143031,-1.078409,93.280632
81,0,29,581.259746,-1.103830,93.181818
81,0,30,197.487325,-2.294703,89.204545
81,0,31,568.282583,-3.048715,83.333333
81,0,32,670.405629,-1.595508,92.329545
81,0,33,558.422633,-3.249201,83.333333
81,0,34,56.087782,-13.584046,83.333333
81,0,35,679.743913,-1.986350,92.121212
81,0,36,676.888201,-1.335793,92.954545
81,0,37,558.422633,-3.249201,83.333333
81,0,38,547.500792,-3.487628,83.333333
81,0,39,581.259746,-1.103830,93.181818
81,0,40,675.765340,-1.336854,92.954545
81,0,41,617.068644,-1.055399,93.371212
81,0,42,694.873792,-1.593394,92.329545
81,0,43,705.787182,-1.716019,92.121212
81,0,44,629.870762,-1.028226,93.454545
81,0,45,644.053319,-2.232425,83.333333
81,0,46,694.873792,-1.593394,92.329545
81,0,47,683.613327,-1.522720,92.676768
81,0,48,599.143031,-1.078409,93.280632
81,0,49,618.105907,-1.704306,92.329545
81,0,50,629.870762,-1.028226,93.454545
81,0,51,705.787182,-1.716019,92.121212
81,0,52,694.873792,-1.593394,92.329545
81,0,53,683.613327,-1.522720,92.676768
81,0,54,552.947937,-0.880215,93.602694
81,0,55,604.209216,-2.391027,83.333333
81,0,56,545.813086,-0.901941,93.531469
81,0,57,568.282583,-3.048715,83.333333
81,0,58,552.947937,-0.880215,93.602694
81,0,59,750.935084,-1.481116,92.822967
81,0,60,714.515501,-1.522463,92.676768
81,0,61,705.787182,-1.716019,92.121212
81,0,62,605.186669,-1.194312,93.073593
81,0,63,618.105907,-1.704306,92.329545
81,0,64,629.870762,-1.028226,93.454545
81,0,65,581.259746,-1.103830,93.181818
81,0,66,536.114638,-0.915180,93.531469
81,0,67,629.870762,-1.028226,93.454545
81,0,68,617.068644,-1.055399,93.371212
81,0,69,542.116910,-0.908591,93.531469
81,0,70,670.405629,-1.595508,92.329545
81,0,71,629.870762,-1.028226,93.454545
81,0,72,670.405629,-1.595508,92.329545
81,0,73,675.765340,-1.336854,92.954545
81,0,74,197.487325,-2.294703,89.204545
81,0,75,605.186669,-1.194312,93.073593
81,0,76,552.947937,-0.880215,93.602694
81,0,77,542.116910,-0.908591,93.531469
81,0,78,497.223541,-0.813210,93.668831
81,0,79,542.116910,-0.908591,93.531469
81,0,80,497.223541,-0.813210,93.668831
81,0,81,644.053319,-2.232425,83.333333
81,0,82,617.068644,-1.055399,93.371212
81,0,83,714.515501,-1.522463,92.676768
81,0,84,545.813086,-0.901941,93.531469
81,0,85,581.259746,-1.103830,93.181818
81,0,86,617.068644,-1.055399,93.371212
81,0,87,676.888201,-1.335793,92.954545
81,0,88,605.186669,-1.194312,93.073593
81,0,89,542.116910,-0.908591,93.531469
81,0,90,542.116910,-0.908591,93.531469
81,0,91,714.515501,-1.522463,92.676768
81,0,92,497.223541,-0.813210,93.668831
81,0,93,497.223541,-0.813210,93.668831
81,0,94,497.223541,-0.813210,93.668831
81,0,95,497.223541,-0.813210,93.668831
81,0,96,497.223541,-0.813210,93.668831
81,0,97,497.223541,-0.813210,93.668831
81,0,98,497.223541,-0.813210,93.668831
81,0,99,497.223541,-0.813210,93.668831
81,0,100,497.223541,-0.813210,93.668831
81,0,101,497.223541,-0.813210,93.668831
81,0,102,497.223541,-0.813210,93.668831
81,0,103,497.223541,-0.813210,93.668831
81,0,104,497.223541,-0.813210,93.668831
81,0,105,497.223541,-0.813210,93.668831
81,0,106,497.223541,-0.813210,93.668831
81,0,107,497.223541,-0.813210,93.668831
81,0,108,497.223541,-0.813210,93.668831
81,0,109,497.223541,-0.813210,93.668831
81,0,110,497.223541,-0.813210,93.668831
81,0,111,497.223541,-0.813210,93.668831
81,0,112,497.223541,-0.813210,93.668831
81,0,113,497.223541,-0.813210,93.668831
81,0,114,497.223541,-0.813210,93.668831
81,0,115,497.223541,-0.813210,93.668831
81,0,116,497.223541,-0.813210,93.668831
81,0,117,497.223541,-0.813210,93.668831
81,0,118,497.223541,-0.813210,93.668831
81,0,119,497.223541,-0.813210,93.668831
81,0,120,497.223541,-0.813210,93.668831
81,0,121,497.223541,-0.813210,93.668831
81,0,122,497.223541,-0.813210,93.668831
81,0,123,497.223541,-0.813210,93.668831
81,0,124,497.223541,-0.813210,93.668831
81,0,125,497.223541,-0.813210,93.668831
81,0,126,497.223541,-0.813210,93.668831
81,0,127,497.223541,-0.813210,93.668831
81,0,128,497.223541,-0.813210,93.668831
81,0,129,497.223541,-0.813210,93.668831
81,0,130,497.223541,-0.813210,93.668831
81,0,131,497.223541,-0.813210,93.668831
81,0,132,497.223541,-0.813210,93.668831
81,0,133,497.223541,-0.813210,93.668831
81,0,134,497.223541,-0.813210,93.668831
81,0,135,497.223541,-0.813210,93.668831
81,0,136,497.223541,-0.813210,93.668831
81,0,137,497.223541,-0.813210,93.668831
81,0,138,497.223541,-0.813210,93.668831
81,0,139,497.223541,-0.813210,93.668831
81,0,140,497.223541,-0.813210,93.668831
81,0,141,497.223541,-0.813210,93.668831
81,0,142,497.223541,-0.813210,93.668831
81,0,143,497.223541,-0.813210,93.668831
81,0,144,497.223541,-0.813210,93.668831
81,0,145,497.223541,-0.813210,93.668831
81,0,146,497.223541,-0.813210,93.668831
81,0,147,497.223541,-0.813210,93.668831
81,0,148,497.223541,-0.813210,93.668831
81,0,149,497.223541,-0.813210,93.668831
81,0,150,497.223541,-0.813210,93.668831
81,0,151,497.223541,-0.813210,93.668831
81,0,152,497.223541,-0.813210,93.668831
81,0,153,497.223541,-0.813210,93.668831
81,0,154,497.223541,-0.813210,93.668831
81,0,155,497.223541,-0.813210,93.668831
81,0,156,497.223541,-0.813210,93.668831
81,0,157,497.223541,-0.813210,93.668831
81,0,158,497.223541,-0.813210,93.668831
81,0,159,497.223541,-0.813210,93.668831
81,0,160,497.223541,-0.813210,93.668831
81,0,161,497.223541,-0.813210,93.668831
81,0,162,497.223541,-0.813210,93.668831
81,0,163,497.223541,-0.813210,93.668831
81,0,164,497.223541,-0.813210,93.668831
81,0,165,497.223541,-0.813210,93.668831
81,0,166,497.223541,-0.813210,93.668831
81,0,167,497.223541,-0.813210,93.668831
81,0,168,497.223541,-0.813210,93.668831
81,0,169,497.223541,-0.813210,93.668831
81,0,170,497.223541,-0.813210,93.668831
81,0,171,497.223541,-0.813210,93.668831
81,0,172,497.223541,-0.813210,93.668831
81,0,173,497.223541,-0.813210,93.668831
81,0,174,497.223541,-0.813210,93.668831
81,0,175,497.223541,-0.813210,93.668831
81,0,176,497.223541,-0.813210,93.668831
81,0,177,497.223541,-0.813210,93.668831
81,0,178,497.223541,-0.813210,93.668831
81,0,179,497.223541,-0.813210,93.668831
81,0,180,497.223541,-0.813210,93.668831
81,0,181,497.223541,-0.813210,93.668831
81,0,182,497.223541,-0.813210,93.668831
81,0,183,497.223541,-0.813210,93.668831
81,0,184,497.223541,-0.813210,93.668831
81,0,185,497.223541,-0.813210,93.668831
81,0,186,497.223541,-0.813210,93.668831
81,0,187,497.223541,-0.813210,93.668831
81,0,188,536.114638,-0.915180,93.531469
81,0,189,497.223541,-0.813210,93.668831
81,0,190,497.223541,-0.813210,93.668831
81,0,191,497.223541,-0.813210,93.668831
81,0,192,497.223541,-0.813210,93.668831
81,0,193,497.223541,-0.813210,93.668831
81,0,194,497.223541,-0.813210,93.668831
81,0,195,675.765340,-1.336854,92.954545
81,0,196,197.487325,-2.294703,89.204545
81,0,197,705.787182,-1.716019,92.121212
81,0,198,705.787182,-1.716019,92.121212
81,0,199,679.743913,-1.986350,92.121212
81,0,200,670.405629,-1.595508,92.329545
81,0,201,670.405629,-1.595508,92.329545
81,0,202,670.405629,-1.595508,92.329545
81,0,203,714.515501,-1.522463,92.676768
81,0,204,714.515501,-1.522463,92.676768
81,0,205,683.613327,-1.522720,92.676768
81,0,206,750.935084,-1.481116,92.822967
81,0,207,750.935084,-1.481116,92.822967
81,0,208,750.935084,-1.481116,92.822967
81,0,209,547.500792,-3.487628,83.333333
81,0,210,675.765340,-1.336854,92.954545
81,0,211,675.765340,-1.336854,92.954545
81,0,212,605.186669,-1.194312,93.073593
81,0,213,605.186669,-1.194312,93.073593
81,0,214,605.186669,-1.194312,93.073593
81,0,215,605.186669,-1.194312,93.073593
81,0,216,605.186669,-1.194312,93.073593
81,0,217,581.259746,-1.103830,93.181818
81,0,218,581.259746,-1.103830,93.181818
81,0,219,581.259746,-1.103830,93.181818
81,0,220,581.259746,-1.103830,93.181818
81,0,221,599.143031,-1.078409,93.280632
81,0,222,547.500792,-3.487628,83.333333
81,0,223,547.500792,-3.487628,83.333333
81,0,224,558.422633,-3.249201,83.333333
81,0,225,558.422633,-3.249201,83.333333
81,0,226,558.422633,-3.249201,83.333333
81,0,227,558.422633,-3.249201,83.333333
81,0,228,558.422633,-3.249201,83.333333
81,0,229,568.282583,-3.048715,83.333333
81,0,230,56.087782,-13.584046,83.333333
81,0,231,568.282583,-3.048715,83.333333
81,0,232,644.053319,-2.232425,83.333333
81,0,233,644.053319,-2.232425,83.333333
81,0,234,644.053319,-2.232425,83.333333
81,0,235,76.383077,-12.601562,83.333333
81,0,236,599.143031,-1.078409,93.280632
81,0,237,56.087782,-13.584046,83.333333
81,0,238,56.087782,-13.584046,83.333333
81,0,239,222.650073,-6.153254,83.333333
81,0,240,222.650073,-6.153254,83.333333
81,0,241,547.500792,-3.487628,83.333333
81,0,242,547.500792,-3.487628,83.333333
81,0,243,547.500792,-3.487628,83.333333
81,0,244,547.500792,-3.487628,83.333333
81,0,245,547.500792,-3.487628,83.333333
81,0,246,547.500792,-3.487628,83.333333
81,0,247,547.500792,-3.487628,83.333333
81,0,248,547.500792,-3.487628,83.333333
81,0,249,497.223541,-0.813210,93.668831
81,0,250,497.223541,-0.813210,93.668831
81,0,251,497.223541,-0.813210,93.668831
81,0,252,497.223541,-0.813210,93.668831
81,0,253,497.223541,-0.813210,93.668831
81,0,254,497.223541,-0.813210,93.668831
81,0,255,497.223541,-0.813210,93.668831
81,0,256,497.223541,-0.813210,93.668831
81,0,257,497.223541,-0.813210,93.668831
81,0,258,497.223541,-0.813210,93.668831
81,0,259,497.223541,-0.813210,93.668831
81,0,260,497.223541,-0.813210,93.668831
81,0,261,497.223541,-0.813210,93.668831
81,0,262,497.223541,-0.813210,93.668831
81,0,263,497.223541,-0.813210,93.668831
81,0,264,497.223541,-0.813210,93.668831
81,0,265,497.223541,-0.813210,93.668831
81,0,266,497.223541,-0.813210,93.668831
81,0,267,497.223541,-0.813210,93.668831
81,0,268,497.223541,-0.813210,93.668831
81,0,269,497.223541,-0.813210,93.668831
81,0,270,497.223541,-0.813210,93.668831
81,0,271,497.223541,-0.813210,93.668831
81,0,272,497.223541,-0.813210,93.668831
81,0,273,497.223541,-0.813210,93.668831
81,0,274,497.223541,-0.813210,93.668831
81,0,275,497.223541,-0.813210,93.668831
81,0,276,542.116910,-0.908591,93.531469
81,0,277,599.143031,-1.078409,93.280632
81,0,278,599.143031,-1.078409,93.280632
81,0,279,617.068644,-1.055399,93.371212
81,0,280,617.068644,-1.055399,93.371212
81,0,281,617.068644,-1.055399,93.371212
81,0,282,617.068644,-1.055399,93.371212
81,0,283,617.068644,-1.055399,93.371212
81,0,284,629.870762,-1.028226,93.454545
81,0,285,629.870762,-1.028226,93.454545
81,0,286,545.813086,-0.901941,93.531469
81,0,287,542.116910,-0.908591,93.531469
81,0,288,542.116910,-0.908591,93.531469
81,0,289,497.223541,-0.813210,93.668831
81,0,290,542.116910,-0.908591,93.531469
81,0,291,542.116910,-0.908591,93.531469
81,0,292,536.114638,-0.915180,93.531469
81,0,293,536.114638,-0.915180,93.531469
81,0,294,552.947937,-0.880215,93.602694
81,0,295,552.947937,-0.880215,93.602694
81,0,296,552.947937,-0.880215,93.602694
81,0,297,497.223541,-0.813210,93.668831
81,0,298,497.223541,-0.813210,93.668831
81,0,299,497.223541,-0.813210,93.668831
81,0,300,497.223541,-0.813210,93.668831
81,0,301,497.223541,-0.813210,93.668831
81,1,0,591.910736,-2.363077,83.333333
81,1,1,652.991399,-1.935098,92.121212
81,1,2,665.531162,-1.870365,92.121212
81,1,3,712.950529,-1.426069,92.822967
81,1,4,535.100411,-0.932888,93.454545
81,1,5,535.100411,-0.932888,93.454545
81,1,6,197.613641,-3.938724,83.333333
81,1,7,69.373328,-6.097565,83.333333
81,1,8,495.000056,-0.832255,93.602694
81,1,9,481.826843,-0.842335,93.602694
81,1,10,624.856950,-2.209828,83.333333
81,1,11,532.599895,-3.152076,83.333333
81,1,12,670.155355,-1.550456,92.121212
81,1,13,670.155355,-1.550456,92.121212
81,1,14,684.169685,-1.431912,92.676768
81,1,15,656.997293,-1.508005,92.329545
81,1,16,692.008110,-1.501009,92.513369
81,1,17,592.318802,-1.177900,93.073593
81,1,18,492.801311,-0.989973,93.181818
81,1,19,492.801311,-0.989973,93.181818
81,1,20,480.336613,-0.844915,93.531469
81,1,21,480.336613,-0.844915,93.531469
81,2,0,586.040814,-2.344639,83.333333
81,2,1,644.937233,-1.913589,92.121212
81,2,2,526.623615,-0.911067,93.454545
81,2,3,490.697598,-0.830620,93.602694
81,2,4,490.697598,-0.830620,93.602694
81,2,5,490.697598,-0.830620,93.602694
81,2,6,490.697598,-0.830620,93.602694
81,2,7,520.170896,-3.043182,83.333333
81,2,8,657.626227,-1.525645,92.121212
81,2,9,592.975837,-1.377835,92.676768
81,2,10,616.228283,-1.491268,92.329545
81,2,11,548.568380,-1.115840,93.073593
81,2,12,473.145810,-0.836371,93.531469
81,2,13,473.145810,-0.836371,93.531469
81,2,14,473.145810,-0.836371,93.531469
81,3,0,578.220002,-2.315260,83.333333
81,3,1,532.147331,-1.685706,92.121212
81,3,2,605.455754,-1.599308,92.121212
81,3,3,187.736166,-1.687768,89.204545
81,3,4,607.633532,-1.550370,92.121212
81,3,5,172.564332,-1.757651,88.311688
81,3,6,452.731630,-0.868315,93.371212
81,3,7,613.636902,-1.246226,89.204545
81,3,8,546.891468,-1.114949,93.073593
81,4,0,577.403504,-2.311891,83.333333
