Generation,IndividualID,FrontRank,ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,CrowdingDistance
91,0,0,22,30,7.615091,5.856928,4.354139,2.914386,109.142933,-1.311155,91.883117,inf
91,1,0,30,44,5.438767,5.420458,9.954958,0.487043,451.559582,-0.294900,78.959749,inf
91,2,0,23,30,8.380950,8.741575,10.000000,6.555177,23.589621,-55.475638,83.333333,inf
91,3,0,23,30,8.380950,8.741575,10.000000,6.555177,23.589621,-55.475638,83.333333,inf
91,4,0,29,46,5.138372,5.829524,7.095106,6.246924,972.337481,-0.397206,69.282013,inf
91,5,0,29,46,5.138372,5.829524,7.095106,6.246924,972.337481,-0.397206,69.282013,inf
91,6,0,25,31,7.993092,9.209478,9.364513,6.114793,28.075157,-31.835982,83.333333,0.433132
91,7,0,30,44,5.243864,2.986416,6.183488,2.168795,602.865054,-0.320702,70.842310,0.382887
91,8,0,29,46,5.167807,5.835919,7.241563,6.067455,920.732431,-0.385061,69.767685,0.382806
91,9,0,24,30,8.154961,9.851118,10.000000,5.692464,30.117292,-17.088960,83.333333,0.269402
91,10,0,25,31,7.993092,9.209478,9.364513,6.114793,28.075157,-31.835982,83.333333,0.269402
91,11,0,30,39,4.569827,5.560721,9.997029,0.100236,236.439883,-0.357274,85.237747,0.230134
91,12,0,22,30,7.596038,5.294837,5.392142,6.567267,113.375933,-1.451183,89.898990,0.210417
91,13,0,30,44,5.332315,5.662396,9.954553,2.021147,580.699858,-0.337270,75.138187,0.196851
91,14,0,30,44,5.243159,5.798339,9.875227,1.968761,584.683897,-0.342998,74.911789,0.182964
91,15,0,23,30,5.350652,9.475904,9.942172,5.209100,126.128822,-0.499145,76.858191,0.175344
91,16,0,30,44,5.332127,3.363009,6.300591,2.162532,598.775221,-0.316125,71.114623,0.172402
91,17,0,30,44,5.458938,5.819357,9.961693,0.884931,466.238778,-0.303266,77.436685,0.136091
