ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,Strength,RawFitness,Density,SPEA2Fitness
24,30,6.39906,9.12902,3.92066,1.16852,44.9634,-0.721833,85.2566,5,0,0.5,0.5
26,30,5.18459,8.99767,4.87359,2.35353,28.2655,-3.53769,83.3333,5,0,0.5,0.5
25,30,6.94549,9.0099,4.8583,1.91855,17.9313,-5.08426,83.3333,2,0,0.5,0.5
26,34,6.11891,9.82533,4.85618,0.823234,135.993,-0.638197,88.5693,7,0,0.492516,0.492516
28,51,6.38224,8.74432,6.50907,0.834074,697.689,-0.261128,71.4977,7,0,0.5,0.5
25,30,6.11475,8.9946,3.529,2.28649,36.8979,-2.48027,83.3333,7,0,0.418423,0.418423
26,30,6.071,8.70585,4.74157,2.32852,15.814,-8.30218,83.3333,2,0,0.5,0.5
26,30,6.08014,9.13143,4.66841,1.25387,15.814,-8.30218,83.3333,2,0,0.5,0.5
26,30,6.12033,9.0118,4.85028,1.91897,15.814,-8.30218,83.3333,2,0,0.5,0.5
26,30,6.1123,9.13456,4.66979,1.05832,15.814,-8.30218,83.3333,2,0,0.5,0.5
26,30,6.14337,8.75606,4.86106,1.87094,15.814,-8.30218,83.3333,2,0,0.5,0.5
24,30,5.60558,9.07366,4.70438,1.1966,96.0934,-0.656171,87.1458,6,0,0.492516,0.492516
26,30,6.10434,9.00455,4.88678,1.90396,15.814,-8.30218,83.3333,2,0,0.5,0.5
26,30,4.84742,9.05969,4.87349,2.34349,36.7042,-3.03252,83.3333,7,0,0.5,0.5
26,30,4.87528,9.06669,4.85977,2.10329,43.1202,-1.9999,83.3333,6,0,0.5,0.5
28,54,6.43661,9.0664,6.83421,1.98502,799.683,-0.288168,70.2218,5,0,0.485645,0.485645
28,51,6.39279,8.84542,6.71746,0.908225,682.89,-0.257127,71.6736,6,0,0.499098,0.499098
25,30,5.81143,9.17163,4.88185,1.92375,35.9481,-0.85299,87.8176,5,0,0.5,0.5
28,51,6.40969,8.83881,7.02368,0.913311,651.214,-0.256989,72.3833,6,0,0.495698,0.495698
26,30,6.08032,8.23954,4.73751,2.28124,15.814,-8.30218,83.3333,2,0,0.5,0.5
26,30,6.34219,9.13086,4.66385,1.15913,15.814,-8.30218,83.3333,2,0,0.5,0.5
