ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,Strength,RawFitness,Density,SPEA2Fitness
29,36,2.5232,3.63384,8.06398,0.854397,1048.37,-0.33714,76.7725,42,0,0.481638,0.481638
26,30,5.46452,3.77743,4.45434,6.09162,35.0117,-6.45598,83.3333,19,0,0.5,0.5
22,30,7.60393,8.89326,4.82494,2.81931,109.143,-1.31116,91.8831,42,0,0.5,0.5
22,31,8.69019,9.67091,4.57071,1.01037,107.576,-1.08256,92.3295,38,0,0.5,0.5
26,30,5.46312,4.36179,5.41217,6.60213,45.0669,-3.41498,83.3333,22,0,0.5,0.5
22,31,8.6367,9.8495,4.31246,0.97196,105.439,-1.02115,92.5134,39,0,0.5,0.5
25,31,7.88074,4.16302,4.87252,4.88713,28.402,-30.6265,83.3333,21,0,0.5,0.5
22,30,7.5949,10,4.7746,2.89422,109.143,-1.31116,91.8831,42,0,0.5,0.5
26,30,5.46575,4.74921,4.52224,6.62301,45.0669,-3.41498,83.3333,22,0,0.5,0.5
22,30,7.60499,9.276,4.68508,2.37704,113.411,-1.27401,92.1212,45,0,0.5,0.5
22,31,8.56744,9.99661,4.58541,1.02938,106.593,-1.08395,92.3295,40,0,0.5,0.5
22,30,7.6161,9.27694,5.00066,2.3821,113.411,-1.27401,92.1212,45,0,0.5,0.5
26,30,5.43537,4.15736,4.27357,6.2622,35.0117,-6.45598,83.3333,19,0,0.5,0.5
26,30,5.3584,4.29851,4.26665,6.37806,35.0117,-6.45598,83.3333,19,0,0.5,0.5
24,30,8.20456,9.24502,2.5058,5.10853,30.1173,-17.089,83.3333,22,0,0.5,0.5
26,30,5.43289,3.78979,4.39177,6.22079,35.0117,-6.45598,83.3333,19,0,0.5,0.5
30,38,4.31484,2.40868,6.2273,1.46175,302.696,-0.467354,80.0292,28,0,0.47897,0.47897
30,37,4.09666,2.69071,6.23217,1.43721,220.503,-0.544051,81.7967,32,0,0.490493,0.490493
30,34,2.9456,2.64796,8.39753,2.2094,141.618,-0.566537,81.1817,29,0,0.49648,0.49648
29,49,7.10263,2.65638,9.91853,0.89694,750.035,-0.367968,79.7054,28,0,0.479505,0.479505
22,30,7.62062,8.42076,4.79962,3.89947,91.6136,-1.40233,90.9091,37,0,0.494642,0.494642
25,31,7.91636,5.36072,5.76273,4.86825,28.0752,-31.836,83.3333,21,0,0.311574,0.311574
30,37,4.1051,2.64932,6.328,1.45165,216.164,-0.54652,81.5197,32,0,0.491109,0.491109
22,31,8.58543,9.99359,4.43853,0.775761,105.439,-1.02115,92.5134,39,0,0.5,0.5
22,30,7.59068,9.26138,4.72082,2.81288,109.143,-1.31116,91.8831,42,0,0.5,0.5
22,31,8.569,9.86138,4.57264,1.02276,106.593,-1.08395,92.3295,40,0,0.5,0.5
22,30,7.61496,9.29226,4.76264,2.3817,113.411,-1.27401,92.1212,45,0,0.5,0.5
22,30,7.59753,8.46298,4.76604,2.377,113.411,-1.27401,92.1212,45,0,0.5,0.5
22,31,8.57649,9.27229,4.56525,1.01811,106.593,-1.08395,92.3295,40,0,0.5,0.5
22,30,7.5574,9.51986,4.59162,2.35332,113.411,-1.27401,92.1212,45,0,0.5,0.5
22,30,7.58328,9.42341,4.75329,2.42963,113.411,-1.27401,92.1212,45,0,0.5,0.5
26,30,5.45583,4.70726,4.52181,6.68176,45.0669,-3.41498,83.3333,22,0,0.5,0.5
22,31,8.66222,9.78331,4.35798,0.974283,105.439,-1.02115,92.5134,39,0,0.5,0.5
22,31,8.58023,10,4.44013,0.85458,105.439,-1.02115,92.5134,39,0,0.5,0.5
22,31,8.48717,9.74944,4.31739,0.932329,105.439,-1.02115,92.5134,39,0,0.5,0.5
25,31,7.91375,5.33575,5.69826,4.8854,28.402,-30.6265,83.3333,21,0,0.5,0.5
22,31,8.63534,9.67316,4.28884,0.781107,105.439,-1.02115,92.5134,39,0,0.5,0.5
26,30,5.47587,3.69358,4.45397,6.68697,45.0669,-3.41498,83.3333,22,0,0.5,0.5
26,30,5.40003,4.19759,4.66715,6.59081,45.0669,-3.41498,83.3333,22,0,0.5,0.5
22,31,8.60019,9.62717,4.56796,1.01922,106.593,-1.08395,92.3295,40,0,0.5,0.5
24,30,8.2035,9.60911,3.09727,5.0049,30.1173,-17.089,83.3333,22,0,0.5,0.5
22,30,7.60499,9.31965,4.76991,2.37704,113.411,-1.27401,92.1212,45,0,0.5,0.5
22,31,8.58023,9.98301,4.44013,0.85458,105.439,-1.02115,92.5134,39,0,0.5,0.5
22,30,7.64365,9.2427,4.79922,3.9717,77.1513,-1.46971,90.9091,32,0,0.483615,0.483615
22,31,8.68003,9.89238,4.31556,1.08734,107.576,-1.08256,92.3295,38,0,0.5,0.5
24,30,8.16085,8.58393,2.93955,5.12365,30.1173,-17.089,83.3333,22,0,0.5,0.5
22,31,8.60572,10,4.38827,1.17038,106.593,-1.08395,92.3295,40,0,0.5,0.5
22,30,7.59699,9.75685,4.96546,2.85495,109.143,-1.31116,91.8831,42,0,0.5,0.5
22,31,8.57485,9.87054,4.44022,0.722086,105.439,-1.02115,92.5134,39,0,0.5,0.5
26,30,5.4106,4.33499,4.66146,6.6719,45.0669,-3.41498,83.3333,22,0,0.5,0.5
22,31,8.62306,9.73893,4.3173,0.978817,105.439,-1.02115,92.5134,39,0,0.5,0.5
22,31,8.66551,9.78242,4.35639,0.978258,106.416,-1.01971,92.5134,39,0,0.499622,0.499622
22,31,8.62724,9.9209,4.40519,1.01325,106.593,-1.08395,92.3295,40,0,0.5,0.5
26,30,5.36392,4.28347,4.67909,6.67797,45.0669,-3.41498,83.3333,22,0,0.5,0.5
22,30,7.61496,9.29226,4.76264,2.3817,113.411,-1.27401,92.1212,45,0,0.5,0.5
22,30,7.59698,9.38861,4.71272,2.84375,109.143,-1.31116,91.8831,42,0,0.5,0.5
