ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,Strength,RawFitness,Density,SPEA2Fitness
27,30,4.89276,0.590586,5.84597,3.00701,-13.9217,12.0129,4.54545,0,5327,0.0714745,5327.07
27,30,4.43067,1.40952,5.85141,1.60807,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,4.28896,0.558239,6.16986,1.35397,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,4.35694,1.55958,6.2543,1.61441,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,31,4.41734,1.28565,5.00517,1.59721,21.7585,-0.364027,74.7281,21,1177,0.491925,1177.49
27,30,4.51111,1.28447,5.25594,2.16418,3.31521,-0.257467,56.4367,11,5145,0.468839,5145.47
27,30,4.16291,0.913474,6.36799,0.440669,19.181,-2.57981,83.3333,22,274,0.407697,274.408
30,48,6.12803,2.49774,7.30834,6.48141,662.355,-0.381772,68.8734,18,50,0.461167,50.4612
27,30,4.54794,1.40227,5.15896,2.90612,3.31521,-0.257467,56.4367,11,5145,0.468839,5145.47
27,30,4.383,0.243033,6.20976,1.12648,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,32,4.08365,0.706272,4.70604,1.71246,83.9198,-0.446324,78.8593,33,506,0.492766,506.493
26,33,5.24417,1.87721,4.63727,1.59233,113.861,-0.531279,81.7418,35,0,0.5,0.5
28,66,7.92367,6.49687,6.58028,0.976759,32.656,-0.0686987,62.2736,12,1219,0.4831,1219.48
27,30,4.39043,1.54091,6.2521,1.99718,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,33,2.95187,1.37917,5.62361,2.67033,-6.35527,-0.0267772,57.9026,2,5297,0.475355,5297.48
26,30,5.39679,2.67295,6.29199,2.6232,28.5564,-3.47634,83.3333,27,0,0.485121,0.485121
27,34,4.22138,1.09297,7.66142,1.79425,79.3022,-0.220433,70.7642,16,960,0.490325,960.49
26,30,4.3931,1.50521,6.24935,1.61932,10.8502,-0.200792,70.7931,13,5114,0.498223,5114.5
26,30,4.24729,1.27347,6.10158,1.60452,13.1859,-0.223797,72.4373,15,5032,0.493023,5032.49
27,30,4.38967,1.26808,6.13839,1.59016,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,4.36952,2.12929,5.41326,1.65871,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,4.43038,1.41309,5.84864,1.60805,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,62,7.50923,6.8173,8.20483,0.81388,93.3508,-0.108136,67.5845,13,947,0.484879,947.485
27,30,4.29845,1.22311,6.21911,1.58277,15.814,-8.30218,83.3333,21,0,0.5,0.5
30,38,4.24909,1.21577,6.2983,1.61178,296.329,-0.456762,80.1831,37,0,0.497234,0.497234
27,30,4.22793,0.108144,5.7761,2.2237,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,4.42911,1.27224,7.15621,1.6038,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,33,4.16857,0.696362,4.70862,1.71509,39.9643,-0.159219,65.2008,13,1107,0.484879,1107.48
27,30,3.81547,1.30837,6.17233,1.58172,15.9745,-0.372406,78.0015,21,1116,0.491663,1116.49
28,62,8.04001,6.86697,6.43899,0.979709,504.632,-0.233143,69.5767,17,162,0.461169,162.461
27,30,4.36932,1.28041,7.12874,1.62233,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,5.11977,0.829946,5.32481,1.50986,-5.6711,-0,4.54545,1,5319,0.488868,5319.49
27,30,4.44225,2.55639,5.7672,1.60928,15.814,-8.30218,83.3333,21,0,0.5,0.5
26,33,5.23352,1.86609,4.69536,1.59019,113.861,-0.531279,81.7418,35,0,0.5,0.5
30,38,4.40406,1.2857,6.30442,1.6581,236.077,-0.429914,78.7232,32,111,0.489497,111.489
27,30,4.44929,0.356452,5.25523,0.791366,15.814,-8.30218,83.3333,21,0,0.5,0.5
24,30,5.00184,1.88407,6.29745,2.53496,52.9827,-0.333354,72.6529,24,825,0.490151,825.49
28,30,4.29967,1.32537,6.23176,0.445413,0,-0,0,0,5319,0.5,5319.5
27,30,4.2991,1.42701,5.61545,1.61169,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,34,4.41525,1.1652,6.17071,1.55941,32.4504,-0.131064,65.4452,12,1193,0.489306,1193.49
27,30,4.19459,0.742935,5.33064,1.50793,19.181,-2.57981,83.3333,22,274,0.407697,274.408
27,30,4.3981,1.29,6.16292,1.34156,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,4.49176,1.08441,6.1695,1.55751,-1.03453,0.0302184,49.2445,2,5319,0.475355,5319.48
28,32,4.15549,0.694108,4.69375,1.71536,27.9095,-0.421159,76.9095,23,989,0.491852,989.492
27,31,4.22071,1.0838,5.23169,1.59379,22.7099,-0.333711,74.8904,21,1177,0.492523,1177.49
27,30,4.39933,1.2887,6.43903,1.34436,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,4.2327,1.31989,5.23373,1.58339,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,4.2944,1.22297,6.22078,2.12757,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,4.23774,1.28943,6.22213,1.61224,15.814,-8.30218,83.3333,21,0,0.5,0.5
21,31,9.95909,4.08053,4.94004,9.38092,101.927,-1.02735,81.8314,35,0,0.5,0.5
27,30,4.51248,2.64421,5.929,1.62514,-1.03453,0.0302184,49.2445,2,5319,0.475355,5319.48
29,30,4.859,2.08773,7.09521,2.61709,0,-0,0,0,5319,0.5,5319.5
28,30,2.67256,1.28868,6.19755,1.34381,9.16104,-0.280189,72.4625,14,5032,0.495135,5032.5
25,30,4.98463,1.86386,6.27465,2.52703,36.1566,-0.439619,77.2885,26,764,0.493383,764.493
27,31,4.29338,1.28968,6.26831,1.57847,15.5694,-0.260909,72.2604,17,5032,0.495135,5032.5
27,30,4.44669,0.351712,5.36981,1.50154,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,4.23263,1.27864,7.19413,2.04762,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,4.22084,1.34217,5.23618,2.20627,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,4.39945,1.28869,6.01735,1.61067,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,4.41485,2.24954,5.37363,2.40249,15.814,-8.30218,83.3333,21,0,0.5,0.5
26,30,5.11358,1.80927,6.29891,2.53752,27.3475,-3.58726,83.3333,26,0,0.487905,0.487905
27,31,2.85342,0.876738,5.63317,0.849285,147.861,-0.417267,79.2056,31,187,0.489395,187.489
30,48,6.1499,2.50024,7.28853,7.63504,967.401,-0.450417,70.8424,25,0,0.46626,0.46626
27,30,4.09549,1.34317,6.20748,1.12717,9.16104,-0.280189,72.4625,14,5032,0.495135,5032.5
21,31,9.96436,4.01832,5.03011,9.29261,101.927,-1.02735,81.8314,35,0,0.5,0.5
27,30,4.42903,2.66035,6.37709,1.60706,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,31,2.8714,1.38056,6.07166,2.27064,150.148,-0.490054,78.0822,34,186,0.489617,186.49
28,30,4.38982,2.68035,5.69289,1.3979,0,-0,0,0,5319,0.5,5319.5
27,30,4.36823,1.27737,6.23441,1.62031,15.814,-8.30218,83.3333,21,0,0.5,0.5
28,30,4.28545,0.828368,5.25342,1.67771,0,-0,0,0,5319,0.5,5319.5
27,30,4.28021,0.588618,6.1661,0.1,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,5.55834,1.07083,5.68381,1.58636,0,-0,0,0,5319,0.5,5319.5
25,30,4.40757,0.550976,6.17776,1.59856,80.2434,-0.432121,78.6206,31,575,0.493383,575.493
27,30,4.40424,2.28413,5.40335,2.02676,15.814,-8.30218,83.3333,21,0,0.5,0.5
27,30,4.35719,1.24331,5.94522,1.62562,15.814,-8.30218,83.3333,21,0,0.5,0.5
