Generation,IndividualID,FrontRank,ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,CrowdingDistance
21,0,0,28,46,5.354203,1.660560,9.999606,6.762853,687.104029,-0.370095,70.191468,inf
21,1,0,28,46,6.949275,0.932841,9.962206,6.976716,399.086181,-0.369458,70.787089,inf
21,2,0,22,30,7.574814,6.962192,8.783298,3.160503,122.909099,-1.133073,92.121212,inf
21,3,0,24,31,9.535723,7.309565,8.414305,5.389068,20.472535,-28.271344,83.333333,inf
21,4,0,24,31,9.566436,7.377496,8.395211,5.355796,20.472535,-28.271344,83.333333,inf
21,5,0,27,32,3.740158,7.059035,5.541846,0.775330,140.248793,-0.485449,80.680099,0.841645
21,6,0,28,46,7.008848,1.694980,9.999890,7.003250,398.006758,-0.369583,70.792996,0.839422
21,7,0,28,46,5.360821,2.486625,10.000000,6.745497,687.104029,-0.370095,70.191468,0.463344
21,8,0,24,30,8.223323,8.100572,7.869873,6.088667,30.117292,-17.088960,83.333333,0.402657
21,9,0,22,30,7.595926,8.112152,8.824039,3.193844,122.909099,-1.133073,92.121212,0.400729
21,10,0,24,31,9.585768,7.362065,8.371849,5.353987,20.661263,-28.217172,83.333333,0.400729
21,11,0,24,31,9.639809,7.259141,8.338874,5.265313,20.661263,-28.217172,83.333333,0.398834
21,12,0,24,30,8.133176,8.145094,7.796807,6.064962,32.666223,-8.491379,83.333333,0.308136
21,13,0,24,30,8.188366,8.133258,7.865717,6.091055,30.117292,-17.088960,83.333333,0.308136
21,14,0,23,30,7.905772,8.109082,8.615125,6.235206,44.741334,-7.259277,83.333333,0.171151
21,15,0,24,30,8.043066,8.141969,7.609614,5.785502,49.328347,-2.989243,83.333333,0.159918
21,16,0,22,30,7.586895,8.009529,9.859639,3.381050,114.094533,-2.528022,83.333333,0.147149
21,17,0,24,30,8.034083,8.141110,7.617825,5.782242,49.328347,-2.989243,83.333333,0.113685
21,18,0,27,32,3.819175,7.070376,5.706312,0.821884,126.996811,-0.495630,82.106208,0.085275
21,19,0,27,32,3.730550,7.132091,5.767834,0.912375,140.248793,-0.485449,80.680099,0.085275
21,20,0,27,32,3.827725,7.132273,5.713187,0.782708,126.996811,-0.495630,82.106208,0.084935
21,21,0,24,31,9.613190,7.333619,8.385651,5.352362,20.661263,-28.217172,83.333333,0.055957
21,22,0,23,30,7.879691,8.092614,8.618393,6.218192,44.741334,-7.259277,83.333333,0.051039
21,23,0,22,30,7.588549,8.111762,8.828058,3.212532,122.909099,-1.133073,92.121212,0.049995
21,24,0,24,30,8.141279,8.138987,7.866599,6.094490,32.666223,-8.491379,83.333333,0.047982
21,25,0,22,30,7.566870,8.063170,8.823282,3.212361,122.909099,-1.133073,92.121212,0.022846
